Relative Time Stamp (s),Latitude,Longitude,Altitude,Horizontal Accuracy,Vertical Accuracy
 316630.54985175, 51.4058252843576, -0.515828439966325, 15.996564824747, 10.0, 4.0
 316631.555761958, 51.4058127953218, -0.515800109133605, 15.867409511175, 10.0, 4.0
 316632.5589915, 51.4058112446697, -0.51582039333928, 16.3937898596787, 10.0, 4.0
 316633.553357333, 51.4058112446697, -0.51582039333928, 16.415240507494, 10.0, 4.0
 316634.55522425, 51.4058153098928, -0.515819387510899, 15.7705238197865, 10.0, 4.0
 316635.553812875, 51.4058189141112, -0.515805641189698, 16.2025250876766, 10.0, 4.0
 316636.554697167, 51.4058189141112, -0.515805641189698, 16.4527278683084, 10.0, 4.0
 316637.556774792, 51.4058222249629, -0.515793235973004, 15.8805525963237, 10.0, 4.0
 316638.5490735, 51.4058177406447, -0.515779573470834, 15.8623646137666, 10.0, 4.0
 316639.548534, 51.4058086043703, -0.51575493067551, 16.4510652636721, 10.0, 4.0
 316640.547224917, 51.4058044134187, -0.515714110807065, 16.1719331538371, 10.0, 4.0
 316641.546793292, 51.4057930140304, -0.515684438869837, 16.0752248819921, 10.0, 4.0
 316642.549374208, 51.4057889488073, -0.515669938177351, 16.2187594625131, 10.0, 4.0
 316643.550735333, 51.405789409812, -0.515660047531608, 16.1387032293584, 10.0, 4.0
 316644.547334042, 51.405795989606, -0.515651581809405, 16.0398287103647, 10.0, 4.0
 316645.547066083, 51.4058025274905, -0.515640182421092, 16.0913425101683, 10.0, 4.0
 316646.550212625, 51.4058073051753, -0.515625681728605, 17.9915656888182, 10.0, 4.0
 316647.555569208, 51.4058073051753, -0.515625681728605, 16.2368341641786, 10.0, 4.0
 316648.550639125, 51.4058024017619, -0.515588466078523, 15.1653702957522, 10.0, 4.0
 316649.549662667, 51.4057974983485, -0.515566254035119, 9.92583708484445, 10.0, 4.0
 316650.555047917, 51.4057972049819, -0.515549154952649, 16.4825492536912, 10.0, 4.0
 316651.550533875, 51.4058005577432, -0.515530211851481, 17.6186735769188, 10.0, 4.0
 316652.552051125, 51.405803952414, -0.515521494672182, 16.6041747651844, 10.0, 4.0
 316653.567647458, 51.4058034914093, -0.515513448045138, 16.804422970185, 10.0, 4.0
 316654.565976667, 51.4058034494998, -0.515509592369679, 15.7023163737496, 10.0, 3.0
 316655.561380125, 51.405801437843, -0.515506323427442, 16.6682464029147, 10.0, 3.0
 316656.555744125, 51.405797288801, -0.515500539914254, 15.9269223824238, 10.0, 3.0
 316657.567074125, 51.4057971211629, -0.515499617904905, 15.7373322655851, 10.0, 3.0
 316658.564262833, 51.4057964506107, -0.515497522429112, 18.3130832387664, 10.0, 3.0
 316659.555711333, 51.4057963667916, -0.515495846048478, 16.5747834621565, 10.0, 3.0
 316660.554659792, 51.4057956124203, -0.515492996201399, 13.6872874499754, 10.0, 3.0
 316661.571721083, 51.4057962829726, -0.515492241830114, 17.7061212011418, 5.0, 3.0
 316662.572935042, 51.4057962829726, -0.515492241830114, 17.0812049843663, 5.0, 3.0
 316663.566745292, 51.4057969535248, -0.515498025343302, 16.6678200188804, 5.0, 4.0
