Relative Time Stamp (s),Latitude,Longitude,Altitude,Horizontal Accuracy,Vertical Accuracy
 311959.533564458, 51.4026236907126, -0.51329232752371, 22.3644065856934, 5.0, 4.0
 311960.536305167, 51.402567909147, -0.513281514868618, 22.1416893005371, 5.0, 4.0
 311961.532937333, 51.4025348006295, -0.513264834881307, 21.8164329528809, 5.0, 4.0
 311962.530006333, 51.402520132299, -0.513243461028219, 21.2460594177246, 10.0, 4.0
 311963.533391792, 51.4025701722609, -0.513126030564786, 20.9149436950684, 10.0, 4.0
 311964.539373083, 51.4026187453898, -0.512939030305029, 20.4346580505371, 10.0, 4.0
 311965.526778, 51.4026926737757, -0.51282964646864, 20.3961448669434, 10.0, 4.0
 311966.525910917, 51.4027653867858, -0.512799555436254, 20.3785667419434, 10.0, 4.0
 311967.523313792, 51.402762159753, -0.512830903754116, 20.2029685974121, 10.0, 4.0
 311968.528021375, 51.4029156324001, -0.512721687555791, 19.5417137145996, 10.0, 4.0
 311969.531375958, 51.4030266507076, -0.512695368379832, 19.3646507263184, 10.0, 4.0
 311970.532947458, 51.4031430753427, -0.512631163001538, 18.4975242614746, 10.0, 4.0
 311971.535681, 51.4032697678091, -0.512551954016567, 18.4804344177246, 10.0, 4.0
 311972.528784375, 51.4034217317136, -0.512615991756797, 18.3465232849121, 10.0, 4.0
 311973.54394625, 51.4035483822705, -0.512575590983511, 18.2270774841309, 10.0, 4.0
 311974.530967375, 51.4036467439042, -0.512574417517067, 17.8980369567871, 10.0, 4.0
 311975.532673042, 51.4036648069056, -0.512533430010558, 17.8290672302246, 10.0, 4.0
 311976.541181958, 51.4037352568017, -0.512474840507389, 17.6663475036621, 10.0, 4.0
 311977.536144333, 51.4038236858802, -0.512380963191867, 17.4658470153809, 10.0, 4.0
 311978.537551167, 51.4038882684441, -0.512361852452636, 17.3431663513184, 10.0, 4.0
 311979.540648042, 51.4039427089052, -0.512384567410231, 17.3318748474121, 10.0, 4.0
 311980.537698625, 51.4038175670909, -0.512467296794534, 17.1383934020996, 10.0, 4.0
 311981.538072167, 51.4037776273223, -0.512535441667319, 17.1129417419434, 10.0, 4.0
 311982.540468458, 51.4037104463683, -0.512596545741439, 16.7751121520996, 10.0, 4.0
 311983.5381715, 51.4033749187844, -0.512865856290341, 16.5068626403809, 10.0, 4.0
 311984.537120083, 51.4033369906725, -0.513084456325055, 16.5281639099121, 10.0, 4.0
 311985.530557542, 51.4032487292321, -0.51328796893406, 16.2907981872559, 10.0, 4.0
 311986.529808083, 51.4031535946311, -0.513379750773789, 15.6825828552246, 10.0, 4.0
 311987.531513875, 51.4030253096031, -0.513452338055254, 15.3999900817871, 10.0, 4.0
 311988.578257375, 51.4029002935173, -0.513445548713685, 15.2002830505371, 10.0, 4.0
 311989.541586458, 51.4028438413994, -0.513224182650925, 15.2342796325684, 10.0, 4.0
 311990.537745583, 51.4028542768689, -0.513042379171134, 15.0553245544434, 30.0, 4.0
 311991.549698417, 51.4028499601888, -0.512933079153777, 15.1643333435059, 30.0, 4.0
 311992.562269833, 51.4029243495794, -0.512728812173486, 15.3706932067871, 30.0, 4.0
 311993.54423825, 51.4029981103273, -0.512604927644611, 15.5108909606934, 30.0, 4.0
 311994.558748042, 51.403161138344, -0.51244265399921, 15.7296409606934, 30.0, 4.0
 311995.551349875, 51.4033584064351, -0.512369060889364, 15.7084007263184, 10.0, 4.0
 311996.549037583, 51.4034640603246, -0.512292534113407, 15.5216331481934, 10.0, 4.0
 311997.548943542, 51.4035725221517, -0.512207373977185, 15.3605003356934, 10.0, 4.0
 311998.542830208, 51.4037019806461, -0.512126404792547, 15.3678855895996, 10.0, 4.0
 311999.545264208, 51.4038229734184, -0.512067480013251, 15.2862205505371, 10.0, 4.0
 312000.539165542, 51.4039649628581, -0.512008890510082, 14.8970603942871, 10.0, 4.0
 312001.540119458, 51.4041289967032, -0.51194133237052, 14.7729759216309, 10.0, 4.0
 312002.542594458, 51.4042857382925, -0.511963460594892, 14.9239768981934, 10.0, 4.0
 312003.540750542, 51.4043804957079, -0.512074353173852, 14.7745018005371, 10.0, 4.0
 312004.538919833, 51.4045429369913, -0.512006878853321, 14.4427146911621, 30.0, 4.0
 312005.541332708, 51.4047305239843, -0.511927586049318, 14.2972068786621, 30.0, 4.0
 312006.53566575, 51.4046158595489, -0.512116095051646, 14.4182395935059, 30.0, 4.0
 312007.539495375, 51.4045105828451, -0.512254899368167, 14.3659324645996, 30.0, 4.0
 312008.553477917, 51.4045043383272, -0.512374341488362, 14.5224876403809, 30.0, 4.0
 312009.547575042, 51.4044008218231, -0.512418011203885, 14.6421775817871, 30.0, 4.0
 312010.548533208, 51.4042451698812, -0.512491771951795, 14.7501487731934, 30.0, 4.0
 312011.545649542, 51.4041706966715, -0.512499148026586, 14.8124656677246, 30.0, 4.0
 312012.542814833, 51.4041198604288, -0.512508871034265, 14.7791404724121, 30.0, 4.0
 312013.546602708, 51.4040758135276, -0.512525634840608, 14.7632713317871, 30.0, 4.0
 312014.548827708, 51.4040215407046, -0.512532843277336, 14.7730979919434, 30.0, 4.0
 312015.547231333, 51.4039651304962, -0.512559581548453, 14.8334617614746, 10.0, 4.0
 312016.546702667, 51.4039651304962, -0.512559581548453, 14.8921165466309, 10.0, 4.0
 312017.54817075, 51.4038790902602, -0.512610627338768, 15.0287742614746, 10.0, 4.0
 312018.5467065, 51.4038577583166, -0.512617835775495, 15.1144065856934, 10.0, 4.0
 312019.53996175, 51.403845772195, -0.512626301497698, 14.9919700622559, 10.0, 4.0
 312020.530409875, 51.4038371388348, -0.512633174658299, 15.0181541442871, 10.0, 4.0
 312021.525240458, 51.4038208360331, -0.512653710321069, 15.2691307067871, 10.0, 4.0
 312022.527484292, 51.4037684491383, -0.512672904879332, 15.3728904724121, 10.0, 4.0
 312023.529369792, 51.4037565468358, -0.512683633715392, 15.4844017028809, 10.0, 4.0
 312024.522543667, 51.403754367541, -0.512688076124073, 15.5188255310059, 10.0, 4.0
 312025.523369208, 51.403754367541, -0.512688076124073, 15.5109519958496, 10.0, 4.0
 312026.521652708, 51.4037383161964, -0.51270601339686, 15.4374046325684, 10.0, 4.0
 312027.521525708, 51.4037361369016, -0.512713724747778, 15.3006248474121, 10.0, 4.0
 312028.521430083, 51.4037361369016, -0.512713724747778, 15.2276878356934, 10.0, 4.0
 312029.5215625, 51.4037361369016, -0.512713724747778, 15.2040672302246, 30.0, 4.0
 312030.528634208, 51.4037361369016, -0.512713724747778, 14.4728277310366, 30.0, 4.0
 312031.533266583, 51.4037361369016, -0.512713724747778, 13.5761200024659, 30.0, 4.0
 312032.541339667, 51.4037361369016, -0.512713724747778, 13.5659706064919, 30.0, 4.0
 312033.5325705, 51.4037361369016, -0.512713724747778, 14.363240182181, 30.0, 4.0
 312034.536710292, 51.4037361369016, -0.512713724747778, 12.2631261029201, 30.0, 4.0
 312035.527315833, 51.4037361369016, -0.512713724747778, 15.0759425947529, 30.0, 4.0
 312036.528423292, 51.4037361369016, -0.512713724747778, 14.0495381164341, 10.0, 4.0
 312037.526584042, 51.4036904555293, -0.512734428048611, 14.7336296540939, 10.0, 4.0
 312038.526700333, 51.4036904555293, -0.512734428048611, 13.8603239314776, 10.0, 4.0
 312039.526936458, 51.4036904555293, -0.512734428048611, 13.666481521079, 10.0, 4.0
 312040.526711833, 51.4036904555293, -0.512734428048611, 14.6860061048067, 10.0, 4.0
 312041.523150208, 51.4036904555293, -0.512734428048611, 14.4912210801927, 10.0, 4.0
 312042.528419167, 51.4036904555293, -0.512734428048611, 14.3013777876924, 10.0, 4.0
 312043.532204208, 51.4036904555293, -0.512734428048611, 14.664142275073, 10.0, 4.0
 312044.52782725, 51.4036904555293, -0.512734428048611, 14.3521856666395, 10.0, 4.0
 312045.535174083, 51.4036904555293, -0.512734428048611, 13.3552810366122, 10.0, 4.0
 312046.5343055, 51.4036904555293, -0.512734428048611, 14.6405712785593, 10.0, 4.0
 312047.542413208, 51.4036904555293, -0.512734428048611, 14.2998938546957, 10.0, 4.0
 312048.536093708, 51.4036904555293, -0.512734428048611, 14.3477317389779, 10.0, 4.0
 312049.540283625, 51.4036904555293, -0.512734428048611, 14.5563247368315, 10.0, 4.0
 312050.545280125, 51.4036904555293, -0.512734428048611, 13.6092556567073, 10.0, 4.0
 312051.539954792, 51.4036904555293, -0.512734428048611, 14.1199762757414, 10.0, 4.0
 312052.546966167, 51.4036904555293, -0.512734428048611, 14.0166155175769, 10.0, 4.0
 312053.543172292, 51.4036904555293, -0.512734428048611, 13.918464194614, 10.0, 4.0
 312054.5447015, 51.4036904555293, -0.512734428048611, 13.896821167192, 10.0, 4.0
 312055.539127833, 51.4036904555293, -0.512734428048611, 14.1531215353542, 10.0, 4.0
 312056.530221625, 51.4036904555293, -0.512734428048611, 14.8251392434728, 10.0, 4.0
 312057.532160833, 51.4036904555293, -0.512734428048611, 13.5876035881472, 10.0, 4.0
 312058.528503167, 51.4036904555293, -0.512734428048611, 14.654632144015, 10.0, 4.0
 312059.531647083, 51.4036904555293, -0.512734428048611, 12.5687782016396, 10.0, 4.0
 312060.532262417, 51.4036904555293, -0.512734428048611, 16.0831641747045, 10.0, 4.0
 312061.528163042, 51.4036904555293, -0.512734428048611, 14.4782872193045, 10.0, 4.0
 312062.530082542, 51.4036904555293, -0.512734428048611, 13.8866640819351, 10.0, 4.0
 312063.533475958, 51.4036904555293, -0.512734428048611, 14.5212265433263, 10.0, 4.0
 312064.526694125, 51.4036904555293, -0.512734428048611, 14.3632855679966, 10.0, 4.0
 312065.527955583, 51.4036904555293, -0.512734428048611, 14.1303916688958, 10.0, 4.0
 312066.526831083, 51.4036904555293, -0.512734428048611, 13.8103516112019, 10.0, 4.0
 312067.526178833, 51.4036904555293, -0.512734428048611, 14.4108378896225, 10.0, 4.0
 312068.531735208, 51.4036904555293, -0.512734428048611, 13.8604291299467, 10.0, 4.0
 312069.540056208, 51.4036904555293, -0.512734428048611, 13.998975360013, 10.0, 4.0
 312070.537612208, 51.4036904555293, -0.512734428048611, 14.7810484184448, 10.0, 4.0
 312071.535993667, 51.4036904555293, -0.512734428048611, 12.8425403192879, 10.0, 4.0
 312072.539232708, 51.4036904555293, -0.512734428048611, 14.456816235791, 10.0, 4.0
 312073.523889125, 51.4036904555293, -0.512734428048611, 14.5249246724271, 10.0, 4.0
 312074.525742417, 51.4036904555293, -0.512734428048611, 13.9933291205405, 10.0, 4.0
 312075.530963667, 51.4036904555293, -0.512734428048611, 14.0397928149336, 10.0, 4.0
 312076.525535292, 51.4036904555293, -0.512734428048611, 13.8471011066849, 10.0, 4.0
 312077.524998958, 51.4036904555293, -0.512734428048611, 14.6626597743875, 10.0, 4.0
 312078.530506375, 51.4036904555293, -0.512734428048611, 14.7118734240654, 10.0, 4.0
 312079.524535167, 51.4036904555293, -0.512734428048611, 12.9177941009696, 10.0, 4.0
 312080.527510042, 51.4036904555293, -0.512734428048611, 14.1032417018193, 10.0, 4.0
 312081.527379583, 51.4036904555293, -0.512734428048611, 13.5652281028058, 10.0, 4.0
 312082.532228917, 51.4036904555293, -0.512734428048611, 13.3080055608206, 10.0, 4.0
 312083.526675875, 51.4036904555293, -0.512734428048611, 13.5973255926526, 10.0, 4.0
 312084.542449458, 51.4036904555293, -0.512734428048611, 13.4134357015616, 10.0, 4.0
 312085.542253417, 51.4036904555293, -0.512734428048611, 14.0376195327903, 10.0, 4.0
 312086.544437458, 51.4036904555293, -0.512734428048611, 13.9074044148877, 10.0, 4.0
 312087.547124292, 51.4036904555293, -0.512734428048611, 14.8724861089752, 10.0, 4.0
 312088.531088167, 51.4036904555293, -0.512734428048611, 14.2881175199849, 10.0, 4.0
 312089.547556042, 51.4036600711303, -0.512742642313719, 14.0845514274903, 10.0, 4.0
 312090.530536333, 51.4036612445967, -0.512737696990848, 14.1867923579176, 10.0, 4.0
 312091.530848, 51.4036573470118, -0.512742307037593, 14.056669934227, 10.0, 4.0
 312092.534183083, 51.4036475820946, -0.512744570151449, 14.0233329410705, 10.0, 4.0
 312093.529933083, 51.403639493558, -0.512757729739428, 13.8232184323031, 10.0, 4.0
 312094.528993125, 51.4036253281416, -0.512767201290012, 13.7159142574251, 10.0, 4.0
 312095.524250875, 51.4036205923663, -0.512786898762465, 14.0599713644916, 10.0, 4.0
 312096.524032083, 51.4036120428251, -0.512810368091346, 14.1101506755417, 10.0, 4.0
 312097.529294542, 51.4035969134899, -0.512836435810209, 13.4958540661359, 10.0, 4.0
 312098.526961625, 51.4035766711937, -0.512861665338755, 14.0561165090541, 10.0, 4.0
 312099.528094125, 51.4035580633687, -0.512882284820557, 13.1429982612477, 10.0, 4.0
 312100.529105792, 51.4035422634812, -0.512896785513044, 14.1030792447124, 10.0, 4.0
 312101.530738667, 51.4035276789697, -0.512910448015214, 13.9807777816065, 10.0, 4.0
 312102.526764417, 51.4035163634004, -0.512900222093345, 14.1942038504286, 10.0, 4.0
 312103.51800875, 51.4035039581837, -0.512896534055949, 14.1710187439459, 30.0, 4.0
 312104.531536333, 51.4034913434194, -0.512895276770473, 14.1736900428552, 30.0, 4.0
 312105.537964458, 51.4034913434194, -0.512895276770473, 14.2642089885847, 30.0, 4.0
 312106.528143208, 51.4034913434194, -0.512895276770473, 13.9527358478964, 30.0, 4.0
 312107.539772875, 51.4034913434194, -0.512895276770473, 16.0152779630636, 30.0, 4.0
 312108.536144375, 51.4035661519052, -0.512916818261624, 14.5827293395996, 30.0, 4.0
 312109.525659375, 51.4035923872622, -0.512942047790171, 14.4906883239746, 30.0, 4.0
 312110.526261875, 51.4036147250341, -0.512965098023892, 14.4557762145996, 30.0, 4.0
 312111.53111675, 51.4036340034114, -0.51298110745895, 14.3933372497559, 30.0, 4.0
 312112.526057, 51.4036515634986, -0.51299870945561, 14.3936424255371, 50.0, 4.0
 312113.527035542, 51.4036403736578, -0.513010695577146, 14.3236961364746, 30.0, 4.0
 312114.526032667, 51.4036340453209, -0.513022346422554, 14.2667503356934, 50.0, 4.0
 312115.523071833, 51.4036318660261, -0.513033494353772, 14.3053855895996, 50.0, 4.0
 312126.924791125, 51.4035360196136, -0.513010752460078, 14.305365562439, 65.0, 11.6394929885864
 312133.833390125, 51.4034452971767, -0.512991723416979, 14.305365562439, 118.205456566558, 13.2364435195923
 312133.95747325, 51.4034437899441, -0.512991407274745, 14.305365562439, 118.233497938745, 13.2364435195923
 312133.965707, 51.4034437460276, -0.51299139806327, 14.305365562439, 118.233521955821, 13.2364435195923
 312133.974830125, 51.4034436190369, -0.512991371426947, 14.305365562439, 118.233722902947, 13.2364435195923
 312133.986664958, 51.4034435483209, -0.512991356594247, 14.305365562439, 118.233785274137, 13.2364435195923
 312133.990424458, 51.4034434298094, -0.51299133173644, 14.305365562439, 118.233960580401, 13.2364435195923
 312133.995112333, 51.4034434014947, -0.512991325797432, 14.305365562439, 118.23397059503, 13.2364435195923
